"CurrencyIsoCode","IsActive","IsDerived","UnitPrice","Product2Id","ProductSellingModelId","Pricebook2Id","Errors"
"USD","true","false","245000","01tg700000hnaftAAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","175000","01tg700000hnafuAAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","24500","01tg700000hnafvAAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","38500","01tg700000hnafwAAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","850","01tg700000hnafxAAA","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","8500","01tg700000hnafxAAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","1150","01tg700000hnafyAAA","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","980","01tg700000hnafzAAA","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","12500","01tg700000hnag0AAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","2100","01tg700000hnag1AAA","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","22000","01tg700000hnag1AAA","0jPg70000005HoEEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","3200","01tg700000hnag2AAA","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","33500","01tg700000hnag2AAA","0jPg70000005HoEEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","8900","01tg700000hnag3AAA","0jPg70000005HoEEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","299","01tg700000hnag4AAA","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","2999","01tg700000hnag4AAA","0jPg70000005HoEEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","185000","01tg700000hnag5AAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","95000","01tg700000hnag6AAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","115000","01tg700000hnag7AAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","148000","01tg700000hnag8AAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","32000","01tg700000hnag9AAA","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","58000","01tg700000hnagAAAQ","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","82000","01tg700000hnagBAAQ","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","24500","01tg700000hnagCAAQ","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","450","01tg700000hnagDAAQ","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","15500","01tg700000hnagEAAQ","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","1800","01tg700000hnagFAAQ","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","7200","01tg700000hnagGAAQ","0jPg70000005HoEEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","399","01tg700000hnagHAAQ","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","149","01tg700000hnagIAAQ","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","38500","01tg700000nfFdBAAU","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","22000","01tg700000nfFdCAAU","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","320","01tg700000nfFdDAAU","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","180","01tg700000nfFdEAAU","0jPg70000005HoDEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","192000","01tg700000nfFdFAAU","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
"USD","true","false","48000","01tg700000nfFdGAAU","0jPg70000005HoGEAU","01sg7000001cTy5AAE","This price definition already exists in this price book"
